district,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Charlottenburg-Wilmersdorf,113,108,108,107,105,103,98,97,95,91
Friedrichshain-Kreuzberg ,64,63,61,58,55,54,54,54,53,51
Lichtenberg ,61,61,59,54,53,53,52,50,45,45
Marzahn-Hellersdorf ,52,51,49,48,47,48,47,45,46,46
Mitte ,100,100,95,94,91,90,90,89,83,81
Neukölln ,66,66,61,60,58,58,58,58,61,60
Pankow ,83,83,83,81,80,77,76,74,68,67
Reinickendorf ,49,50,49,49,46,46,45,44,45,43
Spandau ,47,48,47,46,44,43,43,43,45,44
Steglitz-Zehlendorf ,77,76,74,74,73,73,72,70,64,60
Tempelhof-Schöneberg ,93,95,93,90,87,84,82,80,82,81
Treptow-Köpenick ,58,56,56,55,55,53,53,52,49,49
